1 2 7 0.000
2 8 7 0.000
2 3 8 0.000
3 9 8 0.000
3 4 9 0.000
4 10 9 0.000
5 6 11 0.000
6 12 11 0.000
6 7 12 0.000
7 13 12 0.000
7 8 13 0.000
8 14 13 0.000
8 9 14 0.000
9 15 14 0.000
9 10 15 0.000
10 16 15 0.000
11 12 17 0.000
12 18 17 0.000
12 13 18 0.000
13 19 18 0.000
13 14 19 0.000
14 20 19 0.000
14 15 20 0.000
15 21 20 0.000
15 16 21 0.000
16 22 21 0.000
17 18 23 0.000
18 24 23 0.000
18 19 24 0.000
19 25 24 0.000
19 20 25 0.000
20 26 25 0.000
20 21 26 0.000
21 27 26 0.000
21 22 27 0.000
22 28 27 0.000
23 24 29 0.000
24 30 29 0.000
24 25 30 0.000
25 31 30 0.000
25 26 31 0.000
26 32 31 0.000
26 27 32 0.000
27 33 32 0.000
27 28 33 0.000
28 34 33 0.000
